,mae,mse,mae_norm,mse_norm,ssim,psnr
"relative_humidity_5.625deg_(26, 52)",3.5304235352298194,16.727357353058384,0.28782800010661536,0.11156635982051417,0.3740774529493351,17.37819883824212
"relative_humidity_5.625deg_(104, 52)",3.5227212789597115,16.7680205846125,0.2871997876229525,0.11183614424053186,0.3796935327167261,17.318544294196787
"relative_humidity_5.625deg_(52, 2)",3.960039677008786,22.110709732762377,0.32222329364133134,0.14623464748473955,0.26904770171929804,15.456174078861771
"relative_humidity_5.625deg_(26, 2)",3.7784851550533696,20.140545547021393,0.30796677343740897,0.13403435080942266,0.34238089469539745,16.594173778601096
"temperature_5.625deg_(26, 52)",1.426382018328509,2.699032289188672,0.17366936082731835,0.0404973710620803,0.7766388426510223,23.940164106036317
"temperature_5.625deg_(104, 52)",1.3871040802028565,2.5431634671768766,0.16884643316899903,0.038055882411991794,0.7853077676455411,24.68494268441611
"temperature_5.625deg_(52, 2)",2.7863418193339813,13.757060404760939,0.33855729326815315,0.2012706742492594,0.5641756319143217,18.785961755141393
"temperature_5.625deg_(26, 2)",2.052700373383275,8.234021609789828,0.24420534587979179,0.10957787877522882,0.6660957613561488,21.963034948768293
"potential_vorticity_5.625deg_(26, 52)",0.0010288414619303921,1.5632279646926804e-06,0.10543769781896353,0.017429947000774795,0.8229975518379503,32.080772194692415
"potential_vorticity_5.625deg_(104, 52)",0.0009581997096848847,1.3969373290625258e-06,0.09949573398548406,0.016073239846917244,0.8274911628233158,32.40554090168081
"potential_vorticity_5.625deg_(52, 2)",0.003242012410706046,3.347328321645768e-05,0.24581585994997066,0.13190044892734104,0.6255871049287858,25.60621338082478
"potential_vorticity_5.625deg_(26, 2)",0.0030024015399226687,3.232444914115386e-05,0.2057715241947576,0.09932854794509681,0.6748172354140487,26.734294319294598
"specific_humidity_5.625deg_(26, 52)",0.015595093910693861,0.0005236836072066737,0.20961522403411778,0.059176890263908884,0.5190719865345632,22.085389682432346
"specific_humidity_5.625deg_(104, 52)",0.015425100367025038,0.0005143592224639776,0.20343659675017042,0.05625660522318092,0.5379492900887144,22.561262509606536
"specific_humidity_5.625deg_(52, 2)",0.01651760437253483,0.0005877833177998669,0.21412678823378603,0.06602394720005479,0.45298341994391056,21.29316897070166
"specific_humidity_5.625deg_(26, 2)",0.021639253371454687,0.001275135662178862,0.24621026021691128,0.09558238522036959,0.402908480176104,20.33383428285083
